Area,State,Route,Viewport,Coverage,FunctionalStatus,Network404s,ScreenshotFile,EvidencePath,Notes
Jellyfin Musik,music-favorites-alben,/jellyfin/music/favorites,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,9,music-favorites-alben__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-favorites-alben__1440x1000.png,9 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-favorites-k_nstler,/jellyfin/music/favorites,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,34,music-favorites-k_nstler__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-favorites-k_nstler__1440x1000.png,34 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-favorites-songs,/jellyfin/music/favorites,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,9,music-favorites-songs__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-favorites-songs__1440x1000.png,9 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-genre-detail,/jellyfin/music/genre/Classic%20Rock,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,6,music-genre-detail__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-genre-detail__1440x1000.png,6 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-genres,/jellyfin/music/genres,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,34,music-genres__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-genres__1440x1000.png,34 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-home,/jellyfin/music,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,8,music-home__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-home__1440x1000.png,8 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-library-alben,/jellyfin/music/library,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,10,music-library-alben__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-library-alben__1440x1000.png,10 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-library-favoriten,/jellyfin/music/library,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,10,music-library-favoriten__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-library-favoriten__1440x1000.png,10 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-library-genres,/jellyfin/music/library,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,39,music-library-genres__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-library-genres__1440x1000.png,39 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-library-k_nstler,/jellyfin/music/library,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,18,music-library-k_nstler__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-library-k_nstler__1440x1000.png,18 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-library-songs,/jellyfin/music/library,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,10,music-library-songs__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-library-songs__1440x1000.png,10 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-nowplaying-lyrics,/jellyfin/music/tracks,1440x1000,STATIC_OR_TAB,PASS_TAB_CAPTURED,0,music-nowplaying-lyrics__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-nowplaying-lyrics__1440x1000.png,Tab während realer Wiedergabe erfasst; visuelle Findings separat bewertet.
Jellyfin Musik,music-nowplaying-now-playing,/jellyfin/music/tracks,1440x1000,STATIC_OR_TAB,PASS_TAB_CAPTURED,0,music-nowplaying-now-playing__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-nowplaying-now-playing__1440x1000.png,Tab während realer Wiedergabe erfasst; visuelle Findings separat bewertet.
Jellyfin Musik,music-nowplaying-panel,/jellyfin/music/tracks,1440x1000,STATIC_OR_TAB,PASS_TAB_CAPTURED,0,music-nowplaying-panel__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-nowplaying-panel__1440x1000.png,Tab während realer Wiedergabe erfasst; visuelle Findings separat bewertet.
Jellyfin Musik,music-nowplaying-queue,/jellyfin/music/tracks,1440x1000,STATIC_OR_TAB,PASS_TAB_CAPTURED,0,music-nowplaying-queue__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-nowplaying-queue__1440x1000.png,Tab während realer Wiedergabe erfasst; visuelle Findings separat bewertet.
Jellyfin Musik,music-playlist-detail,/jellyfin/music/playlist/a0ede1842e3d464f5733670bf5ef8b51,1440x1000,REAL_ID,PARTIAL_IMAGE_404,3,music-playlist-detail__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-playlist-detail__1440x1000.png,3 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-playlists,/jellyfin/music/playlists,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,6,music-playlists__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-playlists__1440x1000.png,6 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-recent,/jellyfin/music/recent,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,4,music-recent__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-recent__1440x1000.png,4 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-search-results-albums,/jellyfin/music/search,1440x1000,STATIC_OR_TAB,CAPTURED,0,music-search-results-albums__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-search-results-albums__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Musik,music-search-results-all-return,/jellyfin/music/search,1440x1000,STATIC_OR_TAB,CAPTURED,0,music-search-results-all-return__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-search-results-all-return__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Musik,music-search-results-all,/jellyfin/music/search,1440x1000,STATIC_OR_TAB,CAPTURED,0,music-search-results-all__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-search-results-all__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Musik,music-search-results-artists,/jellyfin/music/search,1440x1000,STATIC_OR_TAB,CAPTURED,0,music-search-results-artists__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-search-results-artists__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Musik,music-search-results-music,/jellyfin/music/search,1440x1000,STATIC_OR_TAB,CAPTURED,0,music-search-results-music__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-search-results-music__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Musik,music-search,/jellyfin/music/search,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,9,music-search__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-search__1440x1000.png,9 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-sidebar-alben,/jellyfin/music,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,49,music-sidebar-alben__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-sidebar-alben__1440x1000.png,49 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-sidebar-k_nstler,/jellyfin/music,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,21,music-sidebar-k_nstler__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-sidebar-k_nstler__1440x1000.png,21 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-sidebar-playlists,/jellyfin/music,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,9,music-sidebar-playlists__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-sidebar-playlists__1440x1000.png,9 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-tracks,/jellyfin/music/tracks,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,10,music-tracks__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-tracks__1440x1000.png,10 Bild-404s während dieser Route erfasst.
