id,route,kind,source_file,line,snippet,expected_behavior,status,evidence,notes
INT-00035,/dashboard,button,apps/frontend/src/app/(dashboard)/dashboard/page.tsx,104,<button,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/dashboard/page.tsx:104,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00036,/dashboard,click-handler,apps/frontend/src/app/(dashboard)/dashboard/page.tsx,105,onClick={async () => {,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/dashboard/page.tsx:105,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00037,/documents,button,apps/frontend/src/app/(dashboard)/documents/page.tsx,106,<button onClick={() => setShowUpload(true)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:106,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00038,/documents,click-handler,apps/frontend/src/app/(dashboard)/documents/page.tsx,106,<button onClick={() => setShowUpload(true)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:106,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00039,/documents,button,apps/frontend/src/app/(dashboard)/documents/page.tsx,127,<button onClick={() => setShowUpload(true)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:127,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00040,/documents,click-handler,apps/frontend/src/app/(dashboard)/documents/page.tsx,127,<button onClick={() => setShowUpload(true)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:127,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00041,/documents,button,apps/frontend/src/app/(dashboard)/documents/page.tsx,134,<button key={doc.id} onClick={() => setSelectedId(doc.id)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:134,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00042,/documents,click-handler,apps/frontend/src/app/(dashboard)/documents/page.tsx,134,<button key={doc.id} onClick={() => setSelectedId(doc.id)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:134,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00043,/documents,button,apps/frontend/src/app/(dashboard)/documents/page.tsx,196,<button onClick={onBack},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:196,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00044,/documents,click-handler,apps/frontend/src/app/(dashboard)/documents/page.tsx,196,<button onClick={onBack},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:196,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00045,/documents,button,apps/frontend/src/app/(dashboard)/documents/page.tsx,209,<button onClick={() => onDelete(doc.id)} disabled={isDeleting},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:209,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00046,/documents,click-handler,apps/frontend/src/app/(dashboard)/documents/page.tsx,209,<button onClick={() => onDelete(doc.id)} disabled={isDeleting},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:209,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00047,/documents,button,apps/frontend/src/app/(dashboard)/documents/page.tsx,260,<button onClick={handleDownload} disabled={downloading},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:260,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00048,/documents,click-handler,apps/frontend/src/app/(dashboard)/documents/page.tsx,260,<button onClick={handleDownload} disabled={downloading},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:260,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00049,/documents,click-handler,apps/frontend/src/app/(dashboard)/documents/page.tsx,307,"<div className=""fixed inset-0 z-50 flex items-center justify-center bg-black/50"" onClick={onClose}>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:307,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00050,/documents,click-handler,apps/frontend/src/app/(dashboard)/documents/page.tsx,308,"<div className=""rounded-lg border border-border bg-bg-surface p-6 w-full max-w-lg mx-4"" onClick={(e) => e.stopPropagation()}>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:308,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00051,/documents,click-handler,apps/frontend/src/app/(dashboard)/documents/page.tsx,312,onClick={() => fileRef.current?.click()},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:312,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00052,/documents,input,apps/frontend/src/app/(dashboard)/documents/page.tsx,327,"<input ref={fileRef} type=""file"" className=""hidden""",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:327,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00053,/documents,change-handler,apps/frontend/src/app/(dashboard)/documents/page.tsx,328,onChange={(e) => setFile(e.target.files?.[0] ?? null)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:328,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00054,/documents,input,apps/frontend/src/app/(dashboard)/documents/page.tsx,332,"<input name=""name"" placeholder=""Dateiname *"" value={form.name}",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:332,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00055,/documents,change-handler,apps/frontend/src/app/(dashboard)/documents/page.tsx,333,"onChange={(e) => setForm({ ...form, name: e.target.value })}",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:333,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00056,/documents,select,apps/frontend/src/app/(dashboard)/documents/page.tsx,337,"<select name=""type"" value={form.type}",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:337,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00057,/documents,change-handler,apps/frontend/src/app/(dashboard)/documents/page.tsx,338,"onChange={(e) => setForm({ ...form, type: e.target.value })}",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:338,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00058,/documents,textarea,apps/frontend/src/app/(dashboard)/documents/page.tsx,344,"<textarea name=""description"" placeholder=""Beschreibung (optional)"" rows={3}",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:344,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00059,/documents,change-handler,apps/frontend/src/app/(dashboard)/documents/page.tsx,346,"onChange={(e) => setForm({ ...form, description: e.target.value })}",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:346,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00060,/documents,input,apps/frontend/src/app/(dashboard)/documents/page.tsx,350,"<input name=""tags"" placeholder=""Tags (kommagetrennt, optional)"" value={form.tags}",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:350,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00061,/documents,change-handler,apps/frontend/src/app/(dashboard)/documents/page.tsx,351,"onChange={(e) => setForm({ ...form, tags: e.target.value })}",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:351,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00062,/documents,button,apps/frontend/src/app/(dashboard)/documents/page.tsx,358,<button onClick={onClose},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:358,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00063,/documents,click-handler,apps/frontend/src/app/(dashboard)/documents/page.tsx,358,<button onClick={onClose},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:358,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00064,/documents,button,apps/frontend/src/app/(dashboard)/documents/page.tsx,361,<button onClick={handleSubmit} disabled={uploading || !form.name || !file},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:361,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00065,/documents,click-handler,apps/frontend/src/app/(dashboard)/documents/page.tsx,361,<button onClick={handleSubmit} disabled={uploading || !form.name || !file},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/documents/page.tsx:361,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00066,/email,link,apps/frontend/src/app/(dashboard)/email/page.tsx,190,<Link,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/email/page.tsx:190,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00067,/email,submit-handler,apps/frontend/src/app/(dashboard)/email/page.tsx,257,onSubmit={(payload) => sendMutation.mutate(payload)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/email/page.tsx:257,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00068,/finance,button,apps/frontend/src/app/(dashboard)/finance/page.tsx,116,<button key={type} onClick={() => setAccountTab(type)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/finance/page.tsx:116,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00069,/finance,click-handler,apps/frontend/src/app/(dashboard)/finance/page.tsx,116,<button key={type} onClick={() => setAccountTab(type)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/finance/page.tsx:116,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00070,/insurance,button,apps/frontend/src/app/(dashboard)/insurance/page.tsx,140,<button onClick={() => setShowCreate(true)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:140,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00071,/insurance,click-handler,apps/frontend/src/app/(dashboard)/insurance/page.tsx,140,<button onClick={() => setShowCreate(true)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:140,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00072,/insurance,button,apps/frontend/src/app/(dashboard)/insurance/page.tsx,169,<button key={p.id} onClick={() => setSelectedId(p.id)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:169,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00073,/insurance,click-handler,apps/frontend/src/app/(dashboard)/insurance/page.tsx,169,<button key={p.id} onClick={() => setSelectedId(p.id)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:169,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00074,/insurance,button,apps/frontend/src/app/(dashboard)/insurance/page.tsx,205,<button onClick={() => setShowCreate(true)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:205,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00075,/insurance,click-handler,apps/frontend/src/app/(dashboard)/insurance/page.tsx,205,<button onClick={() => setShowCreate(true)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:205,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00076,/insurance,submit-handler,apps/frontend/src/app/(dashboard)/insurance/page.tsx,215,onSubmit={(data) => createMutation.mutate(data)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:215,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00077,/insurance,button,apps/frontend/src/app/(dashboard)/insurance/page.tsx,234,<button onClick={onBack},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:234,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00078,/insurance,click-handler,apps/frontend/src/app/(dashboard)/insurance/page.tsx,234,<button onClick={onBack},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:234,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00079,/insurance,button,apps/frontend/src/app/(dashboard)/insurance/page.tsx,247,<button onClick={() => onDelete(policy.id)} disabled={isDeleting},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:247,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00080,/insurance,click-handler,apps/frontend/src/app/(dashboard)/insurance/page.tsx,247,<button onClick={() => onDelete(policy.id)} disabled={isDeleting},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:247,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00081,/insurance,input,apps/frontend/src/app/(dashboard)/insurance/page.tsx,312,"<input type=""text"" value={docName} onChange={(e) => setDocName(e.target.value)}",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:312,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00082,/insurance,change-handler,apps/frontend/src/app/(dashboard)/insurance/page.tsx,312,"<input type=""text"" value={docName} onChange={(e) => setDocName(e.target.value)}",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:312,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00083,/insurance,button,apps/frontend/src/app/(dashboard)/insurance/page.tsx,316,<button onClick={() => { if (docName.trim()) { onAddDoc(docName.trim()); setDocName(''); } }},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:316,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00084,/insurance,click-handler,apps/frontend/src/app/(dashboard)/insurance/page.tsx,316,<button onClick={() => { if (docName.trim()) { onAddDoc(docName.trim()); setDocName(''); } }},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:316,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00085,/insurance,click-handler,apps/frontend/src/app/(dashboard)/insurance/page.tsx,350,"<div className=""fixed inset-0 z-50 flex items-center justify-center bg-black/50"" onClick={onClose}>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:350,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00086,/insurance,click-handler,apps/frontend/src/app/(dashboard)/insurance/page.tsx,351,"<div className=""rounded-lg border border-border bg-bg-surface p-6 w-full max-w-lg mx-4 max-h-[90vh] overflow-y-auto"" onClick={(e) => e.stopPropagation()}>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:351,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00087,/insurance,input,apps/frontend/src/app/(dashboard)/insurance/page.tsx,354,"<input name=""name"" placeholder=""Name *"" value={form.name} onChange={(e) => setForm({ ...form, name: e.target.value })}",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:354,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00088,/insurance,change-handler,apps/frontend/src/app/(dashboard)/insurance/page.tsx,354,"<input name=""name"" placeholder=""Name *"" value={form.name} onChange={(e) => setForm({ ...form, name: e.target.value })}",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:354,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00089,/insurance,select,apps/frontend/src/app/(dashboard)/insurance/page.tsx,358,"<select name=""category"" value={form.category} onChange={(e) => setForm({ ...form, category: e.target.value })}",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:358,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00090,/insurance,change-handler,apps/frontend/src/app/(dashboard)/insurance/page.tsx,358,"<select name=""category"" value={form.category} onChange={(e) => setForm({ ...form, category: e.target.value })}",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:358,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00091,/insurance,select,apps/frontend/src/app/(dashboard)/insurance/page.tsx,362,"<select name=""interval"" value={form.interval} onChange={(e) => setForm({ ...form, interval: e.target.value })}",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/insurance/page.tsx:362,Source-inventoried and route rendered; control not individually mutated during safe audit
